7.600000000000000000e+01	1.000000000000000000e+01
2.200000000000000000e+01	5.400000000000000000e+01
3.600000000000000000e+01	3.000000000000000000e+00
9.800000000000000000e+01	5.100000000000000000e+01
5.500000000000000000e+01	7.000000000000000000e+00
2.100000000000000000e+01	2.000000000000000000e+01
8.600000000000000000e+01	2.100000000000000000e+01
3.300000000000000000e+01	2.800000000000000000e+01
6.500000000000000000e+01	3.000000000000000000e+00
6.000000000000000000e+01	8.700000000000000000e+01
8.753652553362889499e-02	1.386207635936901328e-01
4.232819231349440603e-01	4.878237181102789144e-01
8.639170571648673302e-01	2.706018423258786942e-01
4.234689865712626400e-01	4.766719538363635156e-01
4.858703417902437982e-01	9.962336870029879776e-01
3.634786088851791330e-01	6.860636209882666758e-01
9.017478397967911841e-01	3.242930154266161491e-01
8.168652233188622436e-01	7.676231883334362349e-01
7.485407591012526174e-01	3.684280774149572002e-01
5.132419835905109862e-01	4.301951501534491129e-01
